OBJECTID,Nature_Of_,Premise_Ty,Organizati,Building_N,Street_Typ,Street_Nam,Landmark,Locality,City,Post_Offic,District,Sub_Distri,State,Postman_Be,Pincode,SymbolID,lat,long
27,URBAN,TENAMENT,,PARAS MANI TENAMENT,ROAD,KARMACHARI NAGAR ROAD,OPP KARMACHARI VIBHAG 1,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
28,URBAN,BUNGLOW,,SURYANARAN SOCIETY-1,ROAD,KARMACHARI NAGAR ROAD,NR PARAS MANI FLAT,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0637827781,72.543747373
29,URBAN,FLAT,,DARSHAN COMPLEX BLOCK-A,ROAD,KARMACHARI NAGAR ROAD,OPP GAZZATED OFFICER SOCIETY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0637059993,72.541377167
30,URBAN,BUNGLOW,,GAZZATTED OFFICER SOCIETY,ROAD,KARMACHARI NAGAR ROAD,NR DARSHAN COMPLEX,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0628414132,72.5418281633
31,URBAN,,,RATNADIP TOWER BLOCK A,ROAD,C P NAGAR ROAD,OPP C P NAGAR SOCIETY -2,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.07996,72.5559500001
32,URBAN,,,ARJUN TOWER BLOCK A1,ROAD,C P NAGAR ROAD,OPP C P NAGAR SOCIETY -2,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,2000,380061,,23.0612851671,72.5410893135
33,URBAN,TENAMENT,,KADAM TENAMENT,ROAD,GHATLODIA ROAD,OPP NUTAN SCHOOL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0686904283,72.542496379
34,URBAN,TENAMENT,,HIRA MOTI SOCIETY,ROAD,GHATLODIA ROAD,OPP NUTAN SCHOOL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.07996,72.5559500001
35,URBAN,FLAT,,TRISHALA 3,ROAD,GHATLODIA ROAD,OPP YASH SAGAR SOCIETY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0701400002,72.54191
36,URBAN,SCHOOL,M B PATEL PRIMARY SCHOOL,M B PATEL PRIMARY SCHOOL,ROAD,,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0705999997,72.5423
37,URBAN,COMPLEX,,PANCHOLI HOUSE,ROAD,PRABHAT CHOWK RAOD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0687700001,72.5436600002
38,URBAN,FLAT,,RAVI KUNJ FLAT,ROAD,PRABHAT CHOWK RAOD,NR PANCHOLI HOUSE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0687700001,72.5436600002
39,URBAN,,,ANKIT COMPLEX,ROAD,PRABHAT CHOWK RAOD,NR PANCHOLI HOUSE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0687700001,72.5436600002
40,URBAN,TENAMENT,,SHRIKUNJ TENAMENT,ROAD,PRABHAT CHOWK RAOD,NR VIR DAIRY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.07996,72.5559500001
41,URBAN,BUNGLOW,,ICHHA BA NAGAR,ROAD,PRABHAT CHOWK RAOD,NR VIR DAIRY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.07996,72.5559500001
42,URBAN,TENAMENT,,RANNA PARK SOCIETY,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0682816437,72.5479675457
43,URBAN,BUNGLOW,,UMIYA VIJAY SOCIETY,ROAD,RANNA PARK ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.06747,72.5465299996
44,URBAN,FLAT,,SURBHI FLAT,ROAD,NILKANTH MAHADEV ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0685053465,72.5478808413
45,URBAN,TENAMENT,,ABHINANDAN SOCIETY,ROAD,K K NAGAR ROAD,NR RANNA PARK BUS STAND,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0692799999,72.5477100002
46,URBAN,FLAT,,RATNA DIP SOCIETY,ROAD,NILKANTH MAHADEV ROAD,OPP NILKANTH MAHADEV TEMPLE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0729822666,72.5466613098
47,URBAN,TENAMENT,,NILKANTH NAGAR SOCIETY,ROAD,NILKANTH MAHADEV ROAD,OPP NILKANTH MAHADEV TEMPLE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0688499999,72.5489100004
48,URBAN,TENAMENT,,RATNA RAJ SOCIETY,ROAD,NILKANTH MAHADEV ROAD,OPP NILKANTH MAHADEV TEMPLE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0729822666,72.5466613098
49,URBAN,FLAT,,RUCHIR FLAT,ROAD,MENARAV HALL ROAD,OPP NILKANTH MAHADEV TEMPLE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0729822666,72.5466613098
50,URBAN,TENAMENT,,KALAKUNJ SOCIETY,ROAD,MENARAV HALL ROAD,OPP NILKANTH MAHADEV TEMPLE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.0729822666,72.5466613098
51,URBAN,FLAT,,VALKESHWAR FLAT BLOCK A,ROAD,MENARAV HALL ROAD,OPP MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.06987,72.5512499998
52,URBAN,,,SWAMINARAYAN TEMPLE,ROAD,MENARAV HALL ROAD,OPP MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.06987,72.5512499998
53,URBAN,FLAT,,VISHWESHWAR FLAT BLOCK A,ROAD,MENARAV HALL ROAD,OPP MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,3000,380061,,23.06943,72.5510599995
54,URBAN,TENAMENT,,SWAMI AKHAND ANAND,ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
55,URBAN,,,SWI PARK(MADU MINA SOCIETY),ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
56,URBAN,,,MANMANDIR SOCIETY,ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
57,URBAN,,,TITHAL ROW HOUSE,ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
58,URBAN,,,CHAITRANGI APARTMENTS,ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
59,URBAN,,,PAVAN APPARTEMENTS,ROAD,NIL KANTH MADEV ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
60,URBAN,,,GREENVILLA APARTMENT BLOCK A,ROAD,K K NAGAR ROAD,NR NIRNAYNAGAR GARNALA,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.0724667398,72.5557528443
61,URBAN,,,DEEPALI SOCIETY,ROAD,K K NAGAR ROAD,NR NIRNAYNAGAR GARNALA,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.0732177951,72.5576258921
62,URBAN,,,SABAKANTHA NAYAK NAGAR SOCIETY,ROAD,K K NAGAR ROAD,NR NIRNAYNAGAR GARNALA,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.0732177951,72.5576258921
63,URBAN,SCHOOL,TRIPADA INTERNATIONAL SCHOOL,TRIPADA INTERNATIONAL SCHOOL,ROAD,K K NAGAR ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.0704999998,72.5543499997
64,URBAN,,,ARJUN GREENS APARTMENTS BLOCK A,ROAD,K K NAGAR ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
65,URBAN,,,ARJUN HOMES APARTMENTS BLOCK A,ROAD,K K NAGAR ROAD,NR MENARAV HALL,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,4000,380061,,23.06987,72.5512499998
66,URBAN,TENAMENT,,K.K.NAGAR SET-1,ROAD,K.K.NAGAR ROAD,OPP ABHINANDAN SOCIETY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0692799999,72.5477100002
67,URBAN,FLATS,,SUNTRAC FLAT,ROAD,K.K.NAGAR ROAD,OPP ABHINANDAN SOCIETY,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0692799999,72.5477100002
68,URBAN,FLATS,,KIRTI APARTMENT,ROAD,K.K.NAGAR ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0708177919,72.547903871
69,URBAN,FLATS,,KALINDI PARK,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0719554477,72.5502264363
70,URBAN,SHOPPING CENTER,DR.SURESH J PATEL,KALINDI SHOPPING,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0719554477,72.5502264363
71,URBAN,SHOPPING CENTER,ALKAR JEWELLERS,ABHI SHEVT SHOPPING CENTER,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0677899998,72.5447099995
72,URBAN,FLATS,,ADITI PARK FLATS,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0721634324,72.5498489331
73,URBAN,FLATS,,SHYAM RATH TOWER,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.07996,72.5559500001
74,URBAN,TENAMENT,,KEVAL KUNJ,ROAD,K.K.NAGAR CROSS ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.07996,72.5559500001
75,URBAN,TENAMENT,,RATNMANI TENAMENT,ROAD,GYANDA GIRL SCHOOL ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0735300006,72.54884
76,URBAN,TENAMENT,,KARNAVATI SOCIETY,ROAD,GYANDA GIRL SCHOOL ROAD,OPP SARVODAY-3,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0741802819,72.5487599705
77,URBAN,APARTMENT,,SHILP SRUSHTI APARTMENT,ROAD,GYANDA GIRL SCHOOL ROAD,NR SARVODAY-3,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.065735809,72.5426185284
78,URBAN,TENAMENT,,SARVODAY PART-3,ROAD,GYANDA GIRL SCHOOL ROAD,NR SARVODAY-3,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,5000,380061,,23.0730873005,72.5493061676
79,URBAN,HOUSE,,VARSHA STATE BANK SOCIETY,ROAD,K K NAGAR RAOD,OPP MUNICIPAL OFFICE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
80,URBAN,HOUSE,,BABU BEN NI CHALI,ROAD,K K NAGAR RAOD,OPP MUNICIPAL OFFICE,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
81,URBAN,HOUSE,,ARJAN BHAI NI CHALI,,,NR CHANKYAPURI CROSSING,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.068995198,72.5435956009
82,URBAN,HOUSE,,JOGNI MA NI CHALI,,,NR CHANKYAPURI CROSSING,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.068995198,72.5435956009
83,URBAN,HOUSE,,ANAND NAGAR ROW HOUSE,,,NR CHANKYAPURI CROSSING,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.068995198,72.5435956009
84,URBAN,HOUSE,,BHOPA BHAI NI CHALI,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
85,URBAN,HOUSE,,ARBUDADEV SOICETY-2,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
86,URBAN,HOUSE,,ABRUDA DEVI SOCIETY-1,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0750700008,72.5441799998
87,URBAN,HOUSE,,JAGAT PARK,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0751699998,72.5444599998
88,URBAN,OFFICE,WIRE LESS MONITORING STATION,WIRE LESS MONITORING STATION,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
89,URBAN,SHOP,,SHRINATH SHOPING CENTRE,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0677899998,72.5447099995
90,URBAN,HOUSE,,PRABHAT SOCIETY,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0686588668,72.5437465342
91,URBAN,HOUSE,,AARTI TENAMENT,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0743876588,72.5438868366
92,URBAN,HOUSE,,ARTI ROW HOUSE,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0707402598,72.5478721561
93,URBAN,HOUSE,,ARTI FLAT,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
94,URBAN,HOUSE,,VISAT NAGAR CHHAPRA,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0717551026,72.5498541449
95,URBAN,HOUSE,,GAURINAGAR SOCIETY,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0736400005,72.5462799997
96,URBAN,HOUSE,,AVISHKAR SOCIETY,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0741499999,72.5461600001
97,URBAN,HOUSE,,SARTHI SOCIETY,ROAD,CHANDLODIYA RLY STN ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0725567188,72.5532927218
98,URBAN,HOUSE,,NAYANRAMYA FLAT,ROAD,VAGHESHAWARI SOCEITY ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
99,URBAN,HOUSE,,GOKUL APRATMENT,ROAD,VAGHESHAWARI SOCEITY ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.0747048274,72.5484857746
100,URBAN,HOUSE,,SWET SHYAM FLAT,ROAD,VAGHESHAWARI SOCEITY ROAD,,GHATLODIA,AHMEDABAD,GHATLODIA POST OFFICE,AHMEDABAD,AHMEDABAD,GUJARAT,6000,380061,,23.07996,72.5559500001
